Date (dd-mmm-yyyy), Mean Mesor, Uncertainty of Mesor, Mean Amp., Uncertainty of Amp., Mean Phase, Uncertainty of Phase (hr), Mean HRpS, Uncertainty of HRpS, Mean Autocorr., Uncertainty of Autocorr., Number of Data Points, 2 Day Step Count, Existence of Time Zone Information 
18-Oct-2020, 82.491057, 1.713668, 11.070587, 2.468536, 00:42, 0.700840, 0.172275, 0.029933, 0.693825, 0.038331, 369, 26935, 1.000000
19-Oct-2020, 75.727456, 2.085618, 7.906736, 2.931472, 00:38, 1.255141, 0.214977, 0.030902, 0.727049, 0.037348, 345, 16772, 1.000000
20-Oct-2020, 76.093915, 1.542033, 2.918263, 1.565914, 04:37, 3.396043, 0.352671, 0.035044, 0.640522, 0.042266, 345, 16305, 1.000000
21-Oct-2020, 77.134069, 1.317608, 5.474731, 1.613154, 04:53, 1.166598, 0.390846, 0.035692, 0.502657, 0.047529, 335, 20390, 1.000000
22-Oct-2020, 74.547880, 0.985568, 5.484686, 1.292817, 04:25, 0.882930, 0.368226, 0.042230, 0.556098, 0.043834, 369, 13240, 1.000000
23-Oct-2020, 74.293524, 1.159391, 4.902021, 1.659609, 02:52, 1.272604, 0.278409, 0.035748, 0.679362, 0.036934, 402, 13194, 1.000000
24-Oct-2020, 78.831397, 2.129128, 9.843803, 3.198736, 01:31, 1.051162, 0.248844, 0.033840, 0.783449, 0.032544, 376, 18663, 1.000000
25-Oct-2020, 83.224982, 1.979903, 13.074262, 2.657727, 00:12, 0.670206, 0.235088, 0.036521, 0.705910, 0.038443, 344, 22011, 1.000000
26-Oct-2020, 76.470300, 2.644100, 12.462355, 3.890529, 00:53, 0.989410, 0.238980, 0.038873, 0.797995, 0.032060, 361, 17994, 1.000000
27-Oct-2020, 74.415646, 1.194922, 6.021166, 1.695134, 02:59, 0.959528, 0.286230, 0.037905, 0.619006, 0.040528, 388, 16158, 1.000000
28-Oct-2020, 76.118442, 1.318179, 6.034510, 1.950076, 02:07, 1.071440, 0.265468, 0.036660, 0.677115, 0.037749, 394, 18698, 1.000000
29-Oct-2020, 75.848072, 1.441793, 5.024478, 1.782911, 04:26, 1.753372, 0.243762, 0.036122, 0.764885, 0.032213, 410, 14489, 1.000000
30-Oct-2020, 74.188055, 1.570369, 5.851367, 2.066449, 03:58, 1.604306, 0.234362, 0.043742, 0.777134, 0.031253, 412, 10074, 1.000000
31-Oct-2020, 76.557130, 2.150096, 9.023213, 3.165978, 01:21, 1.242219, 0.233057, 0.037747, 0.807532, 0.031356, 379, 15591, 1.000000
01-Nov-2020, 80.780425, 1.883035, 5.839162, 2.416841, 00:38, 1.684546, 0.287225, 0.034619, 0.683173, 0.042498, 324, 22423, 1.000000
02-Nov-2020, 77.011240, 1.338186, 3.289383, 1.666734, 02:13, 2.436154, 0.367072, 0.034009, 0.597068, 0.044931, 344, 17571, 1.000000
03-Nov-2020, 75.202831, 1.076346, 7.342969, 1.562550, 04:02, 0.687157, 0.273123, 0.028026, 0.658643, 0.038143, 398, 16534, 1.000000
04-Nov-2020, 76.968060, 1.272322, 9.805231, 1.846171, 03:52, 0.618405, 0.255778, 0.027710, 0.720378, 0.034936, 402, 19795, 1.000000
05-Nov-2020, 75.175207, 1.694691, 5.549245, 2.257269, 04:07, 1.859850, 0.273531, 0.031809, 0.807605, 0.029672, 402, 13947, 1.000000
